iter	Logloss
0	0.6303153838
1	0.573106712
2	0.5323672116
3	0.4915547796
4	0.4544018336
5	0.422281736
6	0.3934168207
7	0.3667798826
8	0.3467194542
9	0.327201345
10	0.3108706421
11	0.2965068885
12	0.2833445339
13	0.272056291
14	0.2613695229
15	0.2517535926
16	0.2440673898
17	0.2376869551
18	0.2288187042
19	0.2210489777
20	0.2153464392
21	0.2087013498
22	0.2036279466
23	0.198088546
24	0.1921673039
25	0.1870536629
26	0.1833183439
27	0.1791924368
28	0.1761152314
29	0.1726261756
30	0.1692802695
31	0.1662407465
32	0.1624399071
33	0.1596157789
34	0.1570800229
35	0.1546942136
36	0.1525329446
37	0.1509830156
38	0.1488125177
39	0.1469108692
40	0.1450258408
41	0.1429433793
42	0.1401198139
43	0.1382169045
44	0.1365946709
45	0.135290216
46	0.134035884
47	0.1327836182
48	0.1314874575
49	0.1304720415
50	0.1293093572
51	0.1283366075
52	0.1276318223
53	0.1264447491
54	0.1255330135
55	0.1242069121
56	0.1233776684
57	0.1226671088
58	0.1216677854
59	0.1209994931
60	0.1201438853
61	0.1182390673
62	0.1173777368
63	0.1162109969
64	0.1156522895
65	0.1124545713
66	0.1120203009
67	0.1112629782
68	0.1108212365
69	0.1100519442
70	0.1094647395
71	0.1089820075
72	0.108430783
73	0.107919082
74	0.1073982423
75	0.1067981877
76	0.1055529846
77	0.1053013777
78	0.1046748961
79	0.1040020337
80	0.1035361425
81	0.1030595388
82	0.1025151397
83	0.1020290846
84	0.1016737185
85	0.1012008639
86	0.1007045957
87	0.1002683521
88	0.09968329487
89	0.0992666989
90	0.09884444638
91	0.09851482488
92	0.09810825553
93	0.0976837851
94	0.09741913878
95	0.09712805635
96	0.09681884418
97	0.09651597039
98	0.09620385329
99	0.09576985939
100	0.0952832269
101	0.09492093499
102	0.09426056036
103	0.09370899108
104	0.0933693447
105	0.09299068568
106	0.09255865969
107	0.09219988177
108	0.09170961241
109	0.09140146547
110	0.09091261378
111	0.09062546846
112	0.09025757715
113	0.09003079165
114	0.08966920814
115	0.08935443332
116	0.0889858823
117	0.08799714542
118	0.08767155448
119	0.08744703289
120	0.08730377938
121	0.08708614714
122	0.08682027275
123	0.08664011427
124	0.08632056421
125	0.08591674875
126	0.08572699233
127	0.08536340952
128	0.08507428346
129	0.08485417156
130	0.08444064493
131	0.08415844333
132	0.083943589
133	0.08360197642
134	0.08331711683
135	0.08308427741
136	0.08274181151
137	0.08241913138
138	0.08216402307
139	0.08193801547
140	0.08167162151
141	0.08131640244
142	0.0810365202
143	0.08078015914
144	0.08054808769
145	0.08031737395
146	0.080063931
147	0.0797975888
148	0.0795297926
149	0.07923578761
150	0.07900387009
151	0.07878265331
152	0.07861953866
153	0.07843481027
154	0.0783128249
155	0.07804084639
156	0.07777158042
157	0.07745158759
158	0.07726571647
159	0.07708855559
160	0.07663953309
161	0.07648278529
162	0.07626142759
163	0.07608060929
164	0.07590582284
165	0.07574956245
166	0.07560659832
167	0.07547901884
168	0.0751250446
169	0.07488069056
170	0.07464734495
171	0.07445656625
172	0.07416555169
173	0.07396352984
174	0.07381482563
175	0.07370048408
176	0.0734012755
177	0.07311527922
178	0.07288294113
179	0.07264409487
180	0.07247343709
181	0.07208975191
182	0.07193429546
183	0.07169697418
184	0.07157395354
185	0.07143901608
186	0.07128109069
187	0.07105956654
188	0.0708803557
189	0.0706851709
190	0.07058273625
191	0.07038683382
192	0.07021612489
193	0.07005104773
194	0.06983761299
195	0.06968994176
196	0.06953008685
197	0.06939955923
198	0.06919399705
199	0.06889575551
200	0.06874334348
201	0.06859438127
202	0.06843303402
203	0.06829111702
204	0.06818768171
205	0.06759429143
206	0.06744179059
207	0.06733878726
208	0.06707521293
209	0.06695158414
210	0.06668380891
211	0.06652323194
212	0.06637633449
213	0.06619660652
214	0.06607992008
215	0.06586066377
216	0.06570877718
217	0.06562337421
218	0.06555018401
219	0.06536257887
220	0.06525110261
221	0.06515474128
222	0.06498466914
223	0.06485837082
224	0.0647596731
225	0.06462219977
226	0.06446507197
227	0.06431582192
228	0.06419007752
229	0.0640895572
230	0.0639533818
231	0.06381068337
232	0.06369253036
